review_id,text,current_category,review_category,review_urgency,review_note
1,친구 관계와 관련해 학교 차원의 예방 안내가 필요해 보입니다. 가정에서도 함께 지도할 수 있도록 안내를 요청드립니다,생활지도/안전,생활지도/안전,낮음,
2,학교 행사와 관련해 공지 내용만으로는 판단하기 어려운 점이 있습니다. 관련 기준과 절차를 안내해 주시기 바랍니다,기타,기타,낮음,
3,급식 시간에 배식을 도와주시는 봉사자분께서 아이들에게 다소 짜증 섞인 말투로 대하셨다는 이야기를 들었습니다. 봉사자분들도 아이들에게 좀 더 친절하게 응대해 주셨으면 좋겠습니다. 아이들이 위축되지 않고 편안하게 식사할 수 있는 분위기가 중요한 것 같습니다. 관련해서 안내 부탁드립니다.,급식,급식,보통,
4,수업 설명와 관련해 가정에서 확인하기에 안내 내용이 다소 부족했습니다. 학생들이 이해할 수 있도록 보충 설명을 부탁드립니다,수업/학습 문제,수업/학습 문제,보통,
5,쉬는 시간 지도와 관련해 학생들 사이의 관계를 조금 더 살펴볼 필요가 있어 보입니다. 재발 방지를 위한 조치와 확인 결과를 알려주시기 바랍니다,생활지도/안전,생활지도/안전,보통,
6,쉬는 시간 지도와 관련해 학교 차원의 예방 안내가 필요해 보입니다. 관련 상황을 확인하고 필요한 생활지도를 부탁드립니다,생활지도/안전,생활지도/안전,낮음,
7,제가 오늘 퇴근하고 오니까 애가 급식에서 나온 요플레를 주더군요. 근데 유통기한이 당장 오늘이네요. 영양사분 제정신입니까? 제가 일만 아니면 당장 따지러 갈 거 간신히 참았습니다. 애들이 이런 유제품 잘못 먹고 탈 나면 선생님께서 보상이라도 해주실건지요 이렇게 애들을 무책임하게 관리하셔도 되는 겁니까? 한번만 더 이런 일이 발생하면 그때는 문자로는 안 끝납니다.,급식,급식,높음,
8,교실 냉난방와 관련해 수업과 학교생활에 지장이 있을 수 있어 보입니다. 조치 예정 시점을 안내해 주시면 감사하겠습니다,시설/환경,시설/환경,보통,
9,보충 학습와 관련해 학생이 내용을 충분히 이해하기 어려웠다고 이야기했습니다. 향후 같은 혼란이 없도록 안내 방식을 점검해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
10,급식 온도와 관련해 최근 반복적으로 비슷한 이야기가 들리고 있습니다. 급식 운영 기준과 확인 결과를 안내해 주시기 바랍니다,급식,급식,보통,
11,친구 관계와 관련해 학생이 불안함을 느낀 상황이 있었다고 말했습니다. 학생 안전을 위해 지도 계획을 점검해 주시기 바랍니다,생활지도/안전,생활지도/안전,높음,
12,생활 지도와 관련해 학생이 자신이 존중받지 못했다고 느낀 부분이 있었습니다. 관련 상황에 대해 학교의 설명을 듣고 싶습니다,교사 태도/행동,생활지도/안전,보통,
13,쉬는 시간 지도와 관련해 비슷한 상황이 반복될까 우려됩니다. 가정에서도 함께 지도할 수 있도록 안내를 요청드립니다,생활지도/안전,생활지도/안전,보통,
14,온라인 과제와 관련해 학생마다 이해 정도의 차이가 커 보였습니다. 향후 같은 혼란이 없도록 안내 방식을 점검해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
15,급식 온도와 관련해 제공 방식에 대해 궁금한 부분이 있습니다. 재발 방지를 위한 관리 방안을 검토해 주시기 바랍니다,급식,급식,낮음,
16,최근 등교 시간에 교문 앞에서 낯선 성인이 학생들에게 말을 걸었다는 이야기를 듣고 매우 놀랐습니다. 아이들의 안전이 걱정되어 이렇게 말씀드립니다. 등교 시간대에 교문 주변 순찰이나 인력 배치를 강화해 주시기 바랍니다. 학부모들에게도 관련 안내 문자가 필요할 것 같습니다.,생활지도/안전,생활지도/안전,높음,
17,가정통신문와 관련해 학부모 입장에서 궁금한 부분이 남아 있습니다. 관련 기준과 절차를 안내해 주시기 바랍니다,기타,기타,낮음,
18,학교폭력 예방와 관련해 학교 차원의 예방 안내가 필요해 보입니다. 가정에서도 함께 지도할 수 있도록 안내를 요청드립니다,생활지도/안전,생활지도/안전,높음,
19,운동장 시설와 관련해 수업과 학교생활에 지장이 있을 수 있어 보입니다. 불편이 계속되지 않도록 관리 계획을 검토해 주시기 바랍니다,시설/환경,시설/환경,보통,
20,반찬 구성와 관련해 여러 학생에게 영향을 줄 수 있는 사안으로 보입니다. 학생들이 안심하고 식사할 수 있도록 점검을 부탁드립니다,급식,급식,보통,
21,학급 안내와 관련해 안내 과정에서 오해가 생길 수 있는 표현이 있었다고 생각합니다. 학생이 안정적으로 생활할 수 있도록 지도 방식을 검토해 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
22,화장실 청결와 관련해 여러 학생이 함께 사용하는 공간이라 관리가 필요합니다. 학생들이 안전하게 이용할 수 있도록 확인해 주시기 바랍니다,시설/환경,시설/환경,높음,
23,쉬는 시간 지도와 관련해 학교 차원의 예방 안내가 필요해 보입니다. 가정에서도 함께 지도할 수 있도록 안내를 요청드립니다,생활지도/안전,생활지도/안전,낮음,
24,방과후 과정와 관련해 안내된 절차에 대해 추가 설명이 필요합니다. 혼란이 없도록 안내 내용을 보완해 주시기 바랍니다,기타,기타,낮음,
25,책걸상 상태와 관련해 최근 상태가 나빠졌다는 이야기가 있었습니다. 시설 상태를 점검하고 필요한 조치를 부탁드립니다,시설/환경,시설/환경,보통,
26,고등학교 3학년인데 국어 수업 시간에 수능 연계 교재인 EBS 교재는 거의 다루지 않고 선생님께서 직접 만드신 프린트물로만 수업을 하십니다. 수능이 얼마 남지 않은 시점에서 연계 교재 풀이가 무엇보다 중요한데 수업 방식이 입시 현실과 동떨어져 있는 것 같습니다. EBS 교재를 주교재로 활용하여 수업을 진행해 주실 것을 강력히 건의합니다.,수업/학습 문제,수업/학습 문제,보통,
27,학교 앞 보행로에 가림막이 따로 없어 미세먼지가 심한 날에도 아이들이 그대로 노출된 채로 등하교를 합니다. 환경 개선을 위한 시설 보완이 필요해 보입니다. 관할 기관과 협의하여 개선 방안을 마련해 주시기 바랍니다. 아이들의 호흡기 건강을 위해 적극적인 검토를 부탁드립니다.,기타,기타,높음,
28,준비물 공지와 관련해 일정과 준비 사항을 다시 확인하고 싶습니다. 혼란이 없도록 안내 내용을 보완해 주시기 바랍니다,기타,기타,낮음,
29,반찬 구성와 관련해 학생 건강과 관련될 수 있어 확인을 요청드립니다. 필요한 경우 가정에도 관련 내용을 공유해 주시면 좋겠습니다,급식,급식,높음,
30,학교폭력 예방와 관련해 안전사고로 이어질 가능성이 있어 걱정됩니다. 관련 상황을 확인하고 필요한 생활지도를 부탁드립니다,생활지도/안전,생활지도/안전,높음,
31,수업 진도와 관련해 학습 계획을 세우기 위해 추가 설명이 필요합니다. 관련 내용을 다시 안내해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
32,우유 제공와 관련해 학생이 식사 과정에서 불편함을 느꼈다고 말했습니다. 필요한 경우 가정에도 관련 내용을 공유해 주시면 좋겠습니다,급식,급식,보통,
33,과제 안내와 관련해 학생마다 이해 정도의 차이가 커 보였습니다. 향후 같은 혼란이 없도록 안내 방식을 점검해 주시기 바랍니다,수업/학습 문제,수업/학습 문제,보통,
34,과제 안내와 관련해 학생이 내용을 충분히 이해하기 어려웠다고 이야기했습니다. 학생들이 이해할 수 있도록 보충 설명을 부탁드립니다,수업/학습 문제,수업/학습 문제,보통,
35,학교폭력 예방와 관련해 비슷한 상황이 반복될까 우려됩니다. 학생 안전을 위해 지도 계획을 점검해 주시기 바랍니다,생활지도/안전,생활지도/안전,높음,
36,화장실 청결와 관련해 수업과 학교생활에 지장이 있을 수 있어 보입니다. 시설 상태를 점검하고 필요한 조치를 부탁드립니다,시설/환경,시설/환경,보통,
37,질문 응답와 관련해 학생마다 이해 정도의 차이가 커 보였습니다. 가정에서도 확인할 수 있는 기준을 공유해 주시면 좋겠습니다,수업/학습 문제,수업/학습 문제,보통,
38,지도 표현와 관련해 안내 과정에서 오해가 생길 수 있는 표현이 있었다고 생각합니다. 향후 소통 과정에서 학생이 위축되지 않도록 살펴봐 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
39,"발표 위주의 국어 수업 방식 때문에 내성적인 저희 아이가 밤잠을 설치며 괴로워하고 있습니다. 모든 아이가 대중 앞에서 말하기를 잘할 수는 없는데, 발표 횟수만을 적극성의 척도로 삼아 수행평가 점수를 매기는 것은 부당합니다. 글쓰기나 시각 자료 제작 등 다른 방식으로도 참여도를 평가받을 수 있는 선택지를 마련해 주시기 바랍니다.",수업/학습 문제,수업/학습 문제,보통,
40,학생 응대와 관련해 가정에서 듣기에 표현의 의도가 충분히 전달되지 않은 것 같습니다. 학생이 안정적으로 생활할 수 있도록 지도 방식을 검토해 주시기 바랍니다,교사 태도/행동,교사 태도/행동,보통,
41,"오늘 담임 선생님과의 학부모 상담에서 1시간 내내 우리 아이의 부족한 점, 산만한 점 등 단점만 지적하시어 얼굴을 들 수가 없었습니다. 부모 입장에서는 학교생활 중 잘하는 점이나 발전 가능성도 듣고 싶은데, 시종일관 부정적인 평가만 늘어놓으시니 기운이 다 빠지더군요. 다음 상담에서는 아이의 장점을 찾아 격려해 주시는 모습도 보여주세요.",교사 태도/행동,교사 태도/행동,보통,
42,지도 표현와 관련해 상황을 정확히 확인하고 싶은 부분이 있습니다. 사실관계를 확인한 뒤 필요한 안내를 부탁드립니다,교사 태도/행동,교사 태도/행동,보통,
43,상담 일정와 관련해 학교 운영 방식에 대해 문의드릴 부분이 있습니다. 혼란이 없도록 안내 내용을 보완해 주시기 바랍니다,기타,기타,낮음,
44,지도 표현와 관련해 학생이 상황을 부담스럽게 받아들였다고 말했습니다. 관련 상황에 대해 학교의 설명을 듣고 싶습니다,교사 태도/행동,교사 태도/행동,보통,
