text,category,urgency,department
"지난주 수요일 수학 수업 시간에 아이가 질문을 했는데, 진도가 늦어진다며 그냥 넘어가셨다고 들었습니다. 아이가 수학에 흥미를 잃을까 무척 걱정됩니다. 진도를 빼는 것도 중요하지만 모르는 부분을 짚고 넘어가는 수업 방식이 필요하다고 생각합니다. 혹시 개별적인 질의응답 시간이 따로 있는지 확인 후 답변 부탁드립니다.",수업/학습 문제,보통,교무부
어제 영어 단어 시험을 봤는데 하루에 외워야 할 분량이 50개나 된다고 합니다. 초등학생 아이가 감당하기에는 너무 벅찬 숙제량 아닌가요? 아이가 매일 밤 울면서 단어를 외우고 있어서 스트레스가 심합니다. 단어 시험 횟수를 늘리더라도 하루 분량을 조금 줄여주세요.,수업/학습 문제,보통,교무부
최근 체육 시간에 밖에서 뛰어노는 활동보다 교실에서 영상만 보는 경우가 너무 많다고 합니다. 성장기 아이들인 만큼 활동적인 체육 수업이 필요하다고 생각합니다. 미세먼지가 없는 날에는 가급적 운동장이나 체육관에서 신체 활동을 할 수 있도록 수업 방식을 조정해 주실 수 있으실까요? 답변 기다리겠습니다.,수업/학습 문제,보통,교무부
"이번 미술 과제를 위해 준비해야 하는 준비물 리스트를 보았는데, 일반 문구점에서는 구하기 힘든 재료들이 많습니다. 맞벌이 가정이라 평일에 대형 화방까지 다녀오기가 현실적으로 너무 어렵습니다. 학교에서 이런 건 당연히 준비해야 하는 건 아닌가요? 재료비를 걷어 일괄 구매하거나, 쉽게 구할 수 있는 대체 재료를 허용해 주셨으면 합니다.",수업/학습 문제,보통,교무부
"지난 과학 실험 시간에 알코올 램프를 다루다가 아이가 손을 살짝 데일 뻔했다고 합니다. 실험 전에 안전 교육이 충분히 이루어졌는지, 조별로 교사나 보조 인력의 지도가 제대로 진행되고 있는지 궁금합니다. 아이들의 안전과 직결된 문제인 만큼 실험 수업 시 안전 관리에 조금 더 각별한 신경을 써주시길 간곡히 부탁드립니다.",수업/학습 문제,높음,교무부
주말마다 제출해야 하는 독서 감상문 과제의 양이 너무 많아서 아이가 주말에도 전혀 쉬지 못하고 있습니다. 책을 읽고 즐거움을 느껴야 할 시기에 오히려 독서에 대한 거부감만 커지고 있는 것 같습니다. 강제적인 독서록 작성보다는 자율적인 독서 활동을 권장하는 방향으로 과제 방식을 변경해 주실 것을 건의드립니다.,수업/학습 문제,보통,교무부
이번 사회 수행평가 채점 기준이 다소 모호한 것 같습니다. 저희 아이는 교과서 내용에 충실하게 적었는데도 감점이 되었습니다. 어떤 부분이 부족했는지 아이도 저도 이해하기 어려워 다음 평가를 대비하기가 막막합니다. 수행평가 실시 전에 세부적인 평가 루브릭이나 감점 기준을 학부모와 학생들에게 명확히 공지해 주셨으면 합니다.,수업/학습 문제,보통,교무부
"지난주 기말고사 수학 15번 문제에 출제 오류가 있는 것 같습니다. 보기 중에 정답이 없어서 아이가 그 문제에만 10분 넘게 매달리다 다른 문제까지 망쳤다고 속상해하고 있습니다. 이미 시험은 끝났지만, 출제 과정에서 검토가 미흡했던 점은 아쉽습니다. 해당 문제에 대한 전원 정답 처리 및 재발 방지 대책을 묻고 싶습니다.",수업/학습 문제,보통,교무부
"이번 중간고사 국어 시험 난이도가 평소보다 지나치게 높게 출제된 것 같습니다. 반 평균이 심각하게 떨어졌다고 들었는데, 아이들이 수업 시간에 배운 내용만으로는 풀기 어려운 문제들이 많았다고 합니다. 변별력도 중요하지만 학습 의욕을 꺾을 정도의 난이도는 지양해 주셨으면 합니다. 다음 시험에서는 난이도 조절을 부탁드립니다.",수업/학습 문제,보통,교무부
"사회 조별 과제에서 특정 아이 한두 명만 자료 조사와 발표 준비를 다 하고, 나머지 아이들은 참여하지 않았다고 합니다. 그런데 점수는 조원 모두가 동일하게 받아서 열심히 한 아이가 허탈해하고 있습니다. 선생님들 다 고소할겁니다. 조치 취하세요.",수업/학습 문제,높음,교무부
