text,category
오늘 점심 급식에 나온 돈가스가 다 식어서 차갑게 나왔다고 아이가 집에 와서 이야기했습니다. 배식 시간이 늦어진 건지 아니면 보온 관리 자체가 안 되고 있는 건지 궁금합니다. 추운 날씨에는 따뜻한 음식이 나와야 아이들도 잘 먹고 든든하게 오후 수업을 받을 텐데 아쉬운 마음이 큽니다. 배식 온도 관리에 좀 더 신경 써주셨으면 합니다.,급식
어제 급식으로 나온 멸치볶음에서 머리카락으로 보이는 이물질이 나왔다는 이야기를 아이에게 전해 들었습니다. 조리 과정에서 위생 관리가 제대로 되고 있는지 매우 걱정이 됩니다. 위생모와 위생장갑 착용 같은 기본적인 위생 수칙이 철저히 지켜지고 있는지 확인 부탁드립니다. 다시는 이런 일이 발생하지 않도록 점검해 주셨으면 합니다.,급식
저희 아이는 새우 알레르기가 있는데 지난주 급식 메뉴에 새우튀김이 나왔던 날 사전 안내가 전혀 없어서 정말 놀랐습니다. 다행히 아이가 스스로 알아채고 먹지 않았지만 자칫 큰일이 날 뻔했습니다. 알레르기를 유발할 수 있는 식재료가 들어간 메뉴는 미리 가정통신문이나 알림장으로 꼭 알려주시기 바랍니다. 아이의 안전과 직결된 문제이니 신중하게 처리해 주세요.,급식
우리 애한테 물어보니까 요즘 급식에 면이나 밥만 나온다고 하네요 이렇게 탄수화물만 주구장창 멕이면 애들 성장은 어떡하나요? 선생님이 보시기에도 이게 정상으로 보이나요? 이거 심각하게 보면 아동학대까지 갈 수 있어요 지금 교장실로 들어가서 따지고 싶은 거 일 때메 간신히 참습니다^^ 애아빠도 화가 많이 났어요 담주까지 개선 없을 시 교육청에 신고하겠습니다^^,급식
지난주 수요일 급식에서 밥에 작은 돌이 섞여 있어서 아이가 씹다가 이가 시렸다고 말했습니다. 다행히 크게 다친 곳은 없었지만 아이도 저도 많이 놀랐습니다. 쌀을 세척하고 검수하는 과정에서 이물질 관리가 좀 더 철저해질 필요가 있어 보입니다. 같은 일이 반복되지 않도록 재발 방지 조치를 부탁드립니다.,급식
애가 오늘 집에 와서 배가 고프다고 하네요 이게 맞나요? 학교에서 애한테 많이 맥여서 보내야지 집에 와서도 배고프다고 하는 게 말이되나요? 당장 급식 아주머니들 경고 주세요 제 자식 새끼하나 배부르게 못 먹이는 직원들은 필요 없습니다. 선생님이 자녀가 없어서 그런가 이 사태의 심각성을 모르네요^^ 자식 둔 어미로써 이거 저 용납 못합니다 피드백 해주세요,급식
오늘 급식에 나온 우유에서 상한 냄새가 났다고 같은 반 여러 명의 아이들이 이야기했다고 합니다. 다행히 마시기 전에 알아채서 큰 탈은 없었지만 보관 온도 관리가 걱정스럽습니다. 우유의 유통기한과 냉장 보관 상태를 다시 한번 꼼꼼히 점검해 주시기 바랍니다. 식중독으로 이어질 수 있는 부분이라 빠른 확인을 부탁드립니다.,급식
저희 아이가 평소 편식이 심한 편인데 급식 시간마다 억지로 다 먹이려고 하셔서 식사 시간이 스트레스라고 합니다. 이런 강압적인 분위기는 아이에게 부담이 될 수 있습니다. 우리 아이는 왕의 DNA를 가진 애라서 이렇게 대하시면 안돼요~~ 적당한 선에서 부드럽게 지도해 주시면 좋겠습니다. 아이가 급식 시간을 더 이상 두려워하지 않았으면 합니다. 왕의 DNA를 가진 아이니까요~~,급식
요즘 급식실에 파리가 자주 보인다고 아이가 며칠째 이야기해서 걱정이 됩니다. 날씨가 더워지면서 위생 관리에 더욱 신경 써야 할 시기인 것 같습니다. 방충망 상태 점검이나 방역 작업이 제때 이루어지고 있는지 확인 부탁드립니다. 아이들 건강과 직결되는 문제인 만큼 빠른 조치를 부탁드립니다.,급식
급식 메뉴에 매운 음식이 자주 나와서 저학년 아이들이 잘 못 먹고 있다는 이야기를 여러 학부모에게서 들었습니다. 매운맛 정도를 조금 조절해 주시거나 순한 메뉴를 함께 병행해 주실 수 있을지 여쭤봅니다. 아이들마다 매운 음식에 대한 적응력이 다르다는 점도 함께 고려해 주시면 좋겠습니다. 식단 구성에 참고해 주시기 바랍니다.,급식
지난주 목요일 급식에 나온 닭갈비가 너무 짜서 아이가 거의 손을 대지 못했다고 합니다. 나트륨 섭취가 과도해지면 한창 자라는 아이의 건강에도 좋지 않을 것 같아 걱정이 됩니다. 조리할 때 간을 좀 더 순하게 조절해 주실 수 있는지 여쭤봅니다. 염도 관리에 좀 더 신경 써주시면 감사하겠습니다.,급식
급식 배식 줄이 너무 길어서 저학년 아이들은 줄 서는 데만 점심시간의 절반을 써버린다는 이야기를 들었습니다. 천천히 씹어 먹을 시간도 부족해 아이가 항상 급하게 먹고 들어온다고 합니다. 배식 동선이나 시간 운영 방식을 좀 더 효율적으로 개선해 주실 수 있을까요. 아이들의 식사 시간이 충분히 보장되었으면 합니다.,급식
아이가 급식으로 나온 김치찌개에서 비린내가 심하게 났다고 말했습니다. 사용된 식재료의 신선도에 문제가 있었던 것은 아닌지 걱정이 됩니다. 식자재를 검수하는 과정을 한 번 더 꼼꼼히 확인해 주시면 좋겠습니다. 아이들이 안심하고 먹을 수 있는 급식이 되었으면 하는 바람입니다.,급식
저희 아이는 우유 알레르기가 있어서 매번 우유를 빼달라고 사전에 신청했는데 지난주에만 두 번이나 우유가 그대로 식판에 올라왔습니다.. 다행히 마시지는 않았지만 관리가 제대로 되지 않는 것 같아 매우 불안합니다~~ 알레르기가 있는 학생 명단 관리를 다시 한번 철저히 점검해 주시기 바랍니다. 아이의 안전과 직결된 문제라 꼭 부탁드립니다.^^,급식
급식실 식탁이 끈적거리고 깨끗하지 않다는 이야기를 아이에게 여러 번 들었습니다. 식사 전후로 위생 관리가 제대로 이루어지고 있는지 궁금합니다. 식탁 소독이나 청소 주기를 한번 점검해 주실 수 있을까요. 아이들이 위생적인 환경에서 편안하게 식사할 수 있도록 부탁드립니다.,급식
최근 급식에 햄이나 소시지 같은 가공식품이 너무 자주 나오는 것 같습니다. 첨가물이 많이 들어간 음식보다는 자연 식재료 위주의 식단이 아이 건강에 더 좋을 것 같아 말씀드립니다. 식단을 구성하실 때 영양 균형을 한 번 더 고려해 주시면 감사하겠습니다. 학부모들의 의견도 함께 반영해 주시면 좋겠습니다.,급식
지난 4월 9일 급식에 나온 멸치국물에서 비린 맛이 너무 강해서 아이가 거의 다 남기고 왔다고 합니다. 육수에 사용하는 재료나 조리 방법에 변화를 줄 수 있는지 궁금합니다. 아이들 입맛에 맞는 조리법을 연구해 보시는 것도 필요할 것 같습니다. 참고해 주시면 정말 감사하겠습니다.,급식
급식 후 디저트로 나온 과일이 덜 익었거나 상태가 좋지 않았다는 이야기를 여러 차례 들었습니다. 신선한 과일이 제때 공급되고 있는지 확인 부탁드립니다. 아이들이 맛있고 안심하고 먹을 수 있는 상태의 과일이 제공되었으면 합니다. 식자재 품질 관리에 좀 더 신경 써주시기 바랍니다.,급식
저희 아이 반에서 식중독이 의심되는 증세를 보인 아이가 최근 두 명이나 있었다고 들었습니다. 같은 반 학부모로서 매우 불안한 마음이 큽니다. 정확한 원인 파악과 함께 학부모들에게도 상황을 공지해 주셨으면 합니다. 급식 위생 점검 결과를 알려주시면 한결 안심이 될 것 같습니다.,급식
급식 시간에 짝꿍 친구가 음식을 던지거나 장난을 쳐서 식사 분위기가 매우 어수선하다고 아이가 말했습니다. 식사 예절에 대한 지도가 좀 더 필요해 보입니다. 안전하고 차분한 분위기에서 식사할 수 있도록 배식 시간 지도를 부탁드립니다. 다른 아이들도 함께 불편함을 느끼고 있는 것 같습니다.,급식
애가 저번주 화욜에 나온 카레가 너무 맛이 없다구 하네용 ㅠㅠ 거의 다 남겼다고 하던데.. 적어도 애가 먹을 수 있게는 만들어야 하는 거 아닌가 싶네용 ㅠㅠ 애가 자꾸 급식 너무 맛이 없대용 애기 아빠도 이건 아니라고 하는데 선생님께서 특별히 신경써주시면 해용 ㅠㅠ 저희 애기 입에 별로 였다면 다른 친구들도 별로 먹지 않았을텐데 아이공 ㅠㅠ,급식
아이가 급식 트레이가 깨끗하게 세척되지 않은 채로 나온 적이 있다고 말했습니다. 식판 구석구석에 기름때가 그대로 남아 있는 트레이를 받아 들고 찝찝했다고 합니다. 식기 세척 상태를 다시 한번 점검해 주시기 바랍니다. 앞으로는 위생적인 식기 관리가 꾸준히 잘 이루어졌으면 합니다.,급식
저희 아이가 땅콩 알레르기가 있는데 영양 표시판에 알레르기 유발 식품 표기가 너무 작거나 잘 안 보이는 곳에 있다고 합니다. 아이가 직접 확인하기 어려운 위치라 늘 불안합니다. 표시판의 위치나 글씨 크기를 좀 더 잘 보이게 개선해 주실 수 있을까요. 알레르기가 있는 아이들의 안전을 위해 꼭 부탁드립니다.,급식
급식 메뉴 중 생선 요리에서 가시가 제대로 제거되지 않아 아이가 먹다가 목에 걸릴 뻔했다고 합니다. 그 이야기를 듣고 정말 많이 놀랐고 걱정이 됩니다. 생선을 손질하는 과정에서 가시 제거를 좀 더 꼼꼼히 해주시기 바랍니다. 특히 저학년 아이들에게는 더욱 신경 써주셨으면 합니다.,급식
요즘 들어 급식 잔반이 유난히 많이 남는다는 이야기를 아이를 통해 자주 듣습니다. 아이들이 별로 좋아하지 않는 메뉴가 반복되는 것은 아닌지 궁금합니다. 학생 대상 설문조사를 통해 선호 메뉴를 식단에 반영해 주실 수 있을까요. 정기적인 식단 만족도 조사도 함께 해주시면 좋겠습니다.,급식
급식실에서 배식해 주시는 조리사 선생님께서 마스크를 제대로 착용하지 않은 모습을 봤다고 아이가 이야기했습니다. 위생 수칙이 잘 지켜지고 있는지 걱정이 됩니다. 조리 종사자분들의 위생 관리 교육을 다시 한번 점검해 주시기 바랍니다. 아이들 건강과 직결된 부분이니 신경 써주시기를 부탁드립니다.,급식
지난달부터 급식에 나오는 빵이 자주 딱딱하게 굳어 있다는 이야기를 여러 번 들었습니다. 빵을 보관하는 방법이나 납품받는 유통 과정에 문제가 있는 것은 아닌지 궁금합니다. 신선한 상태로 빵이 제공될 수 있도록 점검을 부탁드립니다. 아이들이 부드럽고 맛있게 먹을 수 있었으면 합니다.,급식
저희 아이 반은 급식 순서가 항상 마지막이라 식사 시간이 너무 짧다고 불만을 이야기합니다. 다른 반과 배식 순서를 번갈아 가며 운영해 주실 수 있는지 궁금합니다. 모든 학년이 공평하게 충분한 식사 시간을 가질 수 있었으면 합니다. 배식 순서 운영 방식을 한번 검토해 주시기 바랍니다.,급식
급식 메뉴표와 실제로 나온 음식이 자주 다르다는 이야기를 다른 학부모들에게도 들었습니다. 알레르기가 있는 아이들은 식단표를 보고 미리 대비를 하는데 이런 불일치는 혼란을 일으킬 수 있습니다. 식단표와 실제 메뉴를 일치시켜 주시거나 변경이 생길 경우 사전 안내를 부탁드립니다. 정확한 정보 제공이 무엇보다 중요한 것 같습니다.,급식
제가 오늘 퇴근하고 오니까 애가 급식에서 나온 요플레를 주더군요. 근데 유통기한이 당장 오늘이네요. 영양사분 제정신입니까? 제가 일만 아니면 당장 따지러 갈 거 간신히 참았습니다. 애들이 이런 유제품 잘못 먹고 탈 나면 선생님께서 보상이라도 해주실건지요 이렇게 애들을 무책임하게 관리하셔도 되는 겁니까? 한번만 더 이런 일이 발생하면 그때는 문자로는 안 끝납니다.,급식
급식 시간에 배식을 도와주시는 봉사자분께서 아이들에게 다소 짜증 섞인 말투로 대하셨다는 이야기를 들었습니다. 봉사자분들도 아이들에게 좀 더 친절하게 응대해 주셨으면 좋겠습니다. 아이들이 위축되지 않고 편안하게 식사할 수 있는 분위기가 중요한 것 같습니다. 관련해서 안내 부탁드립니다.,급식
채식을 하는 저희 아이를 위한 대체 메뉴가 거의 제공되지 않아 매일 어려움을 겪고 있습니다. 고기 반찬이 나오는 날에는 밥과 김치만 먹는 경우가 대부분이라고 합니다. 채식을 하는 학생을 위한 대체식 제공이 가능한지 문의드립니다. 다양한 식습관을 가진 아이들을 배려해 주시면 정말 감사하겠습니다.,급식
급식 후 양치하는 시간이 너무 짧아서 아이들이 제대로 양치를 마치지 못하고 교실로 들어간다고 합니다. 충치 예방을 위해서도 양치 시간이 충분히 확보되었으면 좋겠습니다. 점심시간 운영 방식을 조금 조정해 주실 수 있을까요. 아이들의 구강 건강도 함께 신경 써주시기 바랍니다.,급식
저번에 우리 애기가 잡곡밥 먹기 싫어한다고 말씀 드렸죠. 애가 잡곡밥이 나오면 밥을 아예 안 먹는다고. 근데 이게 뭔가요? 오늘 식단에 잡곡밥이 나왔다네요? 전 분명 저번에 경고 드렸습니다. 선생님이 보시기엔 이게 정상으로 보이는지요 저 교육청 갈 준비하겠습니다. 이거 아동학대로 충분히 고소 가능한 거 아시죠? 전 분명 경고 했습니다.,급식
저희 아이가 학교에서 나오는 우유를 마시고 나면 배가 아팠다는 이야기를 최근 들어 자주 합니다. 혹시 유당불내증이 있는 아이들을 위한 대체 음료 제공이 가능한지 궁금합니다. 모든 아이가 똑같은 메뉴를 먹기 어려운 경우도 있다는 점을 함께 고려해 주시면 좋겠습니다. 검토 부탁드립니다.,급식
급식실 바닥에 물기가 많아 미끄러워서 배식을 받던 아이가 넘어질 뻔했다는 이야기를 들었습니다. 물기 관리나 미끄럼 방지 매트 설치가 필요해 보입니다. 안전사고로 이어지기 전에 미리 점검해 주시기 바랍니다. 아이들이 안전하게 이동할 수 있는 급식 환경이 되었으면 합니다.,급식
최근 급식 메뉴에 동일한 국 종류가 일주일에 두세 번씩 반복해서 나오는 것 같습니다. 식단의 다양성이 다소 부족한 것은 아닌지 궁금합니다. 영양사 선생님께서 메뉴를 구성하실 때 다양성도 함께 고려해 주시면 감사하겠습니다. 아이들이 급식 시간을 좀 더 즐겁게 느꼈으면 합니다.,급식
급식소에서 조리할 때 사용하는 식용유에서 평소와는 다른 냄새가 났다는 이야기를 아이에게 전해 들었습니다. 식용유 교체 주기나 보관 상태가 걱정스럽습니다. 식자재 관리 상태를 한번 꼼꼼히 점검해 주시면 좋겠습니다. 작은 변화라도 아이들은 의외로 민감하게 느끼는 것 같습니다.,급식
아이가 급식 시간에 좋아하지 않는 반찬을 강제로 한 숟갈씩 먹게 하는 규칙이 너무 부담스럽다고 말했습니다. 골고루 먹는 습관을 들이려는 취지는 충분히 이해하지만 아이마다 적응 속도가 다를 수 있을 것 같습니다. 조금 더 유연한 지도 방식을 고려해 주시면 좋겠습니다. 아이가 급식 시간을 즐겁게 느꼈으면 합니다.,급식
지난주 화요일 3교시 체육 시간이 끝난 직후 운동장에서 같은 반 친구와 부딪혀 아이가 손목을 다쳤습니다. 보건실에서 응급처치는 받았지만 병원 진료가 필요해 보여 걱정이 큽니다. 사고 당시 정확한 상황과 안전 지도가 어떻게 이루어졌는지 자세한 설명 부탁드립니다. 재발 방지 대책도 함께 안내해 주시면 감사하겠습니다.,생활지도_안전
최근 한 달 동안 같은 반 친구 몇 명이 저희 아이를 은근히 따돌리고 있다는 사실을 뒤늦게 알게 되었습니다. 단체 채팅방에서도 아이만 빼고 따로 대화를 나눈다고 합니다. 아이가 학교 가는 것을 점점 꺼리고 있어서 마음이 무겁습니다. 학교 차원에서 조속히 상황을 파악하고 조치해 주시기 바랍니다.,생활지도_안전
하교 시간대 교문 앞 횡단보도에 신호를 위반하는 차량이 많아 아이들이 위험하다는 이야기를 여러 학부모에게 들었습니다. 등하교 시간대에 교통 지도 인력 배치가 시급해 보입니다. 큰 안전사고가 발생하기 전에 미리 대책을 마련해 주시기 바랍니다. 학부모 모니터링단 운영도 함께 고려해 주시면 좋겠습니다.,생활지도_안전
지난주 화요일 쉬는 시간에 복도에서 뛰어다니던 학생과 부딪혀 저희 아이가 코피가 났다고 합니다. 복도에서 뛰지 않도록 하는 지도가 평소보다 더 필요해 보입니다. 다행히 큰 부상은 아니었지만 자칫 잘못하면 큰 사고로 이어질 수 있었습니다. 복도 안전 교육을 다시 한번 강화해 주시기 바랍니다.,생활지도_안전
같은 반 남학생이 저희 딸의 외모를 두고 지속적으로 놀린다는 이야기를 최근에 듣게 되었습니다. 그 일로 스트레스를 받아서인지 아이의 말수가 눈에 띄게 줄었습니다. 학교폭력으로 번지기 전에 담임 선생님께서 빠르게 개입해 주셨으면 합니다. 상담을 통한 정확한 사실 확인을 부탁드립니다.,생활지도_안전
과학실에서 진행된 실험 수업 중 아이가 화학약품 냄새를 맡고 잠시 어지러움을 느꼈다고 합니다. 실험실 환기 시설이 제대로 작동하고 있는지 확인이 필요해 보입니다. 실험실 안전 수칙이 잘 지켜지고 있는지도 함께 점검 부탁드립니다. 아이들의 건강과 안전이 무엇보다 최우선되었으면 합니다.,생활지도_안전
선생님~~ 그 등굣길에 있는 주공 4단지 주상 복합 지금 공사중인 거 아시죠?~~ 저희 애가 여길 등교할 때마다 지나가는데 안전장치가 너무 허술한 것 같아 걱정이 매우 많이 되네요 ㅠㅠ 이거 학교 차원에서 어떻게 조치 안 될까요??? 선생님들이 등교길을 지도 해주시는 방법 같은거요 너무 걱정이 되네요 ㅠㅠ,생활지도_안전
체육 시간에 축구를 하다가 같은 반 친구가 찬 공에 맞아 안경이 깨지면서 아이 눈가에 상처가 났습니다. 보호 장비 없이 진행되는 체육 활동의 안전 관리가 매우 걱정됩니다. 사고가 일어난 경위와 함께 재발 방지 대책을 알려주시기 바랍니다. 병원비 처리 관련해서도 함께 안내 부탁드립니다.,생활지도_안전
최근 SNS에서 같은 학년 학생들이 저희 아이를 비방하는 글을 올렸다는 것을 알게 되어 매우 놀랐습니다. 사이버 폭력에 해당할 수 있는 상황이라 걱정이 큽니다. 학교 차원에서 사실관계를 면밀히 확인하고 적절한 조치를 취해 주시기 바랍니다. 아이가 정신적으로 많이 힘들어하고 있어 빠른 대응을 부탁드립니다.,생활지도_안전
학교 계단에서 아이들이 장난삼아 뛰어 내려가는 모습을 자주 목격한다는 이야기를 들었습니다. 계단에서의 안전사고가 충분히 우려되는 상황입니다. 쉬는 시간마다 계단 이용에 대한 지도를 강화해 주실 수 있을까요. 큰 사고가 발생하기 전에 예방 차원의 지도가 꼭 필요해 보입니다.,생활지도_안전
지난 금요일 미술 시간에 사용한 칼에 아이의 손가락이 베이는 사고가 있었습니다. 다행히 깊은 상처는 아니었지만 도구를 사용하기 전 안전 교육이 충분했는지 궁금합니다. 위험한 도구를 다루는 수업에서는 사전 안전 지도가 더욱 철저했으면 합니다. 앞으로의 재발 방지 대책도 함께 안내해 주시기 바랍니다.,생활지도_안전
저희 아들이 같은 반 친구 무리에게 자꾸 돈을 빌려주고 계속 돌려받지 못하는 일이 최근 반복되고 있다고 합니다. 혹시 강요에 의한 것은 아닌지 걱정이 큽니다. 학교폭력 여부를 포함해 정확한 상황 파악이 필요해 보입니다. 담임 선생님과의 직접적인 면담을 정식으로 요청드립니다.,생활지도_안전
운동장에 있는 놀이기구 중 그네의 체인이 심하게 녹슬어서 위험해 보인다는 이야기를 아이에게 전해 들었습니다. 시설 점검이 제때 이루어지고 있는지 궁금하고 걱정이 됩니다. 안전사고로 이어지기 전에 시설물 보수가 시급히 필요해 보입니다. 정기적인 안전 점검을 부탁드립니다.,생활지도_안전
학원 차량 승하차 시간과 학교 하교 시간이 겹쳐 교문 앞이 매우 혼잡하다는 이야기를 자주 듣습니다. 차량과 학생들이 뒤엉켜 사고 위험이 높아 보여 불안합니다. 하교 시간대에 교통 정리 인력을 배치해 주시면 좋겠습니다. 안전한 하교 환경을 위해 적극적인 검토를 부탁드립니다.,생활지도_안전
같은 반 친구가 저희 아이의 학용품이나 물건을 자꾸 숨기거나 망가뜨린다는 이야기를 최근 들었습니다. 단순한 장난인지 의도적인 괴롭힘인지 정확한 확인이 필요할 것 같습니다. 아이가 스트레스를 호소하고 있어서 걱정이 많이 됩니다. 학교 차원에서의 면담과 적절한 지도를 부탁드립니다.,생활지도_안전
교실 뒤편 사물함 모서리가 날카롭게 파손되어 있어 아이가 지나가다 부딪힐 뻔했다고 합니다. 시설물 파손 부분에 대한 빠른 보수가 시급해 보입니다. 작은 부분이라도 자칫 안전사고로 이어질 수 있으니 점검 부탁드립니다. 학기 초에 전체 시설에 대한 점검을 한 번 해주시면 좋겠습니다.,생활지도_안전
최근 등교 시간에 교문 앞에서 낯선 성인이 학생들에게 말을 걸었다는 이야기를 듣고 매우 놀랐습니다. 아이들의 안전이 걱정되어 이렇게 말씀드립니다. 등교 시간대에 교문 주변 순찰이나 인력 배치를 강화해 주시기 바랍니다. 학부모들에게도 관련 안내 문자가 필요할 것 같습니다.,생활지도_안전
체육관에서 농구 수업을 하던 중 골대가 심하게 흔들리는 것을 본 아이가 너무 무서웠다고 말했습니다. 시설 고정 상태에 문제가 있는 것은 아닌지 점검이 필요해 보입니다. 큰 사고로 이어지기 전에 시급한 안전 점검을 부탁드립니다. 체육 시설 전반에 대한 확인도 함께 부탁드립니다.,생활지도_안전
저희 아이 반에서 특정 학생을 중심으로 한 따돌림 분위기가 있다는 것을 다른 학부모를 통해 전해 들었습니다. 아직 저희 아이가 직접 당한 것은 아니지만 학급 전체의 분위기가 우려스럽습니다. 학급 내 또래관계에 대한 점검과 인성 교육이 필요해 보입니다. 조속한 확인과 조치를 부탁드립니다.,생활지도_안전
